OBJECTID,N_SQ_QU,C_QU,C_QUINSEE,L_QU,C_AR,N_SQ_AR,SHAPE_Length,SHAPE_Area
1,750000046,46,7511202,Picpus,12,750000012,18260.6025874727,7205014.40501999
2,750000047,47,7511203,Bercy,12,750000012,6154.59141510618,1902932.25440392
3,750000048,48,7511204,Quinze-Vingts,12,750000012,4509.22647648497,1235915.63104003
4,750000049,49,7511301,Salpêtrière,13,750000013,4758.77767537961,1181560.30089206
5,750000050,50,7511302,Gare,13,750000013,7069.81898897117,3044177.45725129
6,750000051,51,7511303,Maison-Blanche,13,750000013,6813.83457844497,2231505.7935865
7,750000052,52,7511304,Croulebarbe,13,750000013,3289.00473734758,692067.70464366
8,750000053,53,7511401,Montparnasse,14,750000014,4564.84066550897,1126205.40472708
9,750000054,54,7511402,Parc-de-Montsouris,14,750000014,5223.84771203774,1357950.3975591
10,750000055,55,7511403,Petit-Montrouge,14,750000014,5490.21278464902,1345774.25347819
11,750000056,56,7511404,Plaisance,14,750000014,5961.27888614847,1784947.88818395
12,750000057,57,7511501,Saint-Lambert,15,750000015,6928.31979017252,2829201.59869433
13,750000058,58,7511502,Necker,15,750000015,5979.34751038414,1578484.18909645
14,750000059,59,7511503,Grenelle,15,750000015,4932.67189364358,1478299.06589713
15,750000060,60,7511504,Javel 15Art,15,750000015,8068.45494153261,2609009.40537071
16,750000066,66,7511702,Plaine-Monceau,17,750000017,5247.24089857416,1383507.71581561
17,750000076,76,7511904,Combat,19,750000019,4435.1436318715,1294987.86012615
18,750000061,61,7511601,Auteuil,16,750000016,12451.6022432389,6383887.7249827
19,750000062,62,7511602,Muette ,16,750000016,11961.9486290069,5477898.29824661
20,750000063,63,7511603,Porte-Dauphine,16,750000016,7446.78917634933,3086718.39071
21,750000064,64,7511604,Chaillot,16,750000016,5206.85232101285,1424035.2683325
22,750000065,65,7511701,Ternes,17,750000017,5264.46343311484,1465070.89973859
23,750000067,67,7511703,Batignolles,17,750000017,5832.58426841441,1441710.84684372
